Entry.name	Entry (UniProtAC)	Protein Name	Gene names
K2C6B_HUMAN	P04259	"Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)"	KRT6B; K6B; KRTL1
H10_HUMAN	P07305	"Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]"	H1-0; H1F0; H1FV
H14_HUMAN	P10412	Histone H1.4 (Histone H1b) (Histone H1s-4)	H1-4; H1F4; HIST1H1E
H13_HUMAN	P16402	Histone H1.3 (Histone H1c) (Histone H1s-2)	H1-3; H1F3; HIST1H1D
H1X_HUMAN	Q92522	Histone H1.10 (Histone H1x)	H1-10; H1FX
H2A1J_HUMAN	Q99878	Histone H2A type 1-J (Histone H2A/e)	H2AC14; H2AFE; HIST1H2AJ
H2A1H_HUMAN	Q96KK5	Histone H2A type 1-H (H2A-clustered histone 12) (Histone H2A/s)	H2AC12; HIST1H2AH; HIST1H2AI
H2AJ_HUMAN	Q9BTM1	Histone H2A.J (H2a/j)	H2AJ; H2AFJ
H2A2C_HUMAN	Q16777	Histone H2A type 2-C (H2A-clustered histone 20) (Histone H2A-GL101) (Histone H2A/q)	H2AC20; H2AFQ; HIST2H2AC
H2A2A_HUMAN	Q6FI13	Histone H2A type 2-A (H2A-clustered histone 18) (H2A-clustered histone 19) (Histone H2A.2) (Histone H2A/o)	H2AC18; H2AFO; HIST2H2AA; HIST2H2AA3;; H2AC19; HIST2H2AA4
H2A1D_HUMAN	P20671	Histone H2A type 1-D (Histone H2A.3) (Histone H2A/g)	H2AC7; H2AFG; HIST1H2AD
H2A1_HUMAN	P0C0S8	Histone H2A type 1 (H2A.1) (Histone H2A/ptl)	H2AC11; H2AFP; HIST1H2AG;; H2AC13; H2AFC; HIST1H2AI;; H2AC15; H2AFD; HIST1H2AK;; H2AC16; H2AFI; HIST1H2AL;; H2AC17; H2AFN; HIST1H2AM
H2A1C_HUMAN	Q93077	Histone H2A type 1-C (H2A-clustered histone 6) (Histone H2A/l)	H2AC6; H2AFL; HIST1H2AC
H2A3_HUMAN	Q7L7L0	Histone H2A type 3 (H2A-clustered histone 25)	H2AC25; H2AW; HIST3H2A
H2A1B_HUMAN	P04908	Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m)	H2AC4; H2AFM; HIST1H2AB;; H2AC8; H2AFA; HIST1H2AE
H2A1A_HUMAN	Q96QV6	Histone H2A type 1-A (H2A-clustered histone 1) (Histone H2A/r)	H2AC1; H2AFR; HIST1H2AA
H2AX_HUMAN	P16104	Histone H2AX (H2a/x) (Histone H2A.X)	H2AX; H2AFX
H2B1H_HUMAN	Q93079	Histone H2B type 1-H (H2B-clustered histone 9) (Histone H2B.j) (H2B/j)	H2BC9; H2BFJ; HIST1H2BH
H2B2F_HUMAN	Q5QNW6	Histone H2B type 2-F (H2B-clustered histone 18)	H2BC18; HIST2H2BF
H2B1C_HUMAN	P62807	Histone H2B type 1-C/E/F/G/I (Histone H2B.1 A) (Histone H2B.a) (H2B/a) (Histone H2B.g) (H2B/g) (Histone H2B.h) (H2B/h) (Histone H2B.k) (H2B/k) (Histone H2B.l) (H2B/l)	H2BC4; H2BFL; HIST1H2BC;; H2BC6; H2BFH; HIST1H2BE;; H2BC7; H2BFG; HIST1H2BF;; H2BC8; H2BFA; HIST1H2BG;; H2BC10; H2BFK; HIST1H2BI
H2B1K_HUMAN	O60814	Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1)	H2BC12; H2BFT; HIRIP1; HIST1H2BK
H2B1L_HUMAN	Q99880	Histone H2B type 1-L (Histone H2B.c) (H2B/c)	H2BC13; H2BFC; HIST1H2BL
H2B1M_HUMAN	Q99879	Histone H2B type 1-M (Histone H2B.e) (H2B/e)	H2BC14; H2BFE; HIST1H2BM
H2B1N_HUMAN	Q99877	Histone H2B type 1-N (Histone H2B.d) (H2B/d)	H2BC15; H2BFD; HIST1H2BN
H2B1D_HUMAN	P58876	Histone H2B type 1-D (H2B-clustered histone 5) (HIRA-interacting protein 2) (Histone H2B.1 B) (Histone H2B.b) (H2B/b)	H2BC5; H2BFB; HIRIP2; HIST1H2BD
H2BFS_HUMAN	P57053	Histone H2B type F-S (H2B-clustered histone 12 like) (H2B.S histone 1) (Histone H2B.s) (H2B/s)	H2BC12L; H2BFS; H2BS1
H2B1O_HUMAN	P23527	Histone H2B type 1-O (H2B-clustered histone 17) (Histone H2B.2) (Histone H2B.n) (H2B/n)	H2BC17; H2BFH; H2BFN; HIST1H2BO
PSD12_HUMAN	O00232	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	PSMD12
PRS8_HUMAN	P62195	26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)	PSMC5; SUG1
PSDE_HUMAN	O00487	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	PSMD14; POH1
ADRM1_HUMAN	Q16186	Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog)	ADRM1; GP110
PRS7_HUMAN	P35998	26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2)	PSMC2; MSS1
PSMD2_HUMAN	Q13200	26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2)	PSMD2; TRAP2
PRS6A_HUMAN	P17980	26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Proteasome subunit P50) (Tat-binding protein 1) (TBP-1)	PSMC3; TBP1
PSMD4_HUMAN	P55036	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein)	PSMD4; MCB1
PSMD5_HUMAN	Q16401	26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)	PSMD5; KIAA0072
PSD11_HUMAN	O00231	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)	PSMD11
PSME2_HUMAN	Q9UL46	Proteasome activator complex subunit 2 (11S regulator complex subunit beta) (REG-beta) (Activator of multicatalytic protease subunit 2) (Proteasome activator 28 subunit beta) (PA28b) (PA28beta)	PSME2
PSMF1_HUMAN	Q92530	Proteasome inhibitor PI31 subunit (hPI31)	PSMF1
PSD13_HUMAN	Q9UNM6	26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5)	PSMD13
PRS10_HUMAN	P62333	26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	PSMC6; SUG2
PRS4_HUMAN	P62191	26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1)	PSMC1
PSMD1_HUMAN	Q99460	26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	PSMD1
PRS6B_HUMAN	P43686	26S proteasome regulatory subunit 6B (26S proteasome AAA-ATPase subunit RPT3) (MB67-interacting protein) (MIP224) (Proteasome 26S subunit ATPase 4) (Tat-binding protein 7) (TBP-7)	PSMC4; MIP224; TBP7
PSMD3_HUMAN	O43242	26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)	PSMD3
ECM29_HUMAN	Q5VYK3	Proteasome adapter and scaffold protein ECM29 (Ecm29 proteasome adapter and scaffold) (Proteasome-associated protein ECM29 homolog)	ECPAS; ECM29; KIAA0368
PSMD6_HUMAN	Q15008	26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit RPN7) (26S proteasome regulatory subunit S10) (Breast cancer-associated protein SGA-113M) (Phosphonoformate immuno-associated protein 4) (Proteasome regulatory particle subunit p44S10) (p42A)	PSMD6; KIAA0107; PFAAP4
PSME1_HUMAN	Q06323	Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Interferon gamma up-regulated I-5111 protein) (IGUP I-5111) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha)	PSME1; IFI5111
PSMD7_HUMAN	P51665	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein homolog) (Proteasome subunit p40)	PSMD7; MOV34L
PSB10_HUMAN	P40306	Proteasome subunit beta type-10 (EC 3.4.25.1) (Low molecular mass protein 10) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1) (Proteasome MECl-1) (Proteasome subunit beta-2i)	PSMB10; LMP10; MECL1
PSME4_HUMAN	Q14997	Proteasome activator complex subunit 4 (Proteasome activator PA200)	PSME4; KIAA0077
PSB6_HUMAN	P28072	Proteasome subunit beta type-6 (EC 3.4.25.1) (Macropain delta chain) (Multicatalytic endopeptidase complex delta chain) (Proteasome delta chain) (Proteasome subunit Y)	PSMB6; LMPY; Y
PSMD8_HUMAN	P48556	26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit RPN12) (26S proteasome regulatory subunit S14) (p31)	PSMD8
PSA5_HUMAN	P28066	Proteasome subunit alpha type-5 (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome zeta chain)	PSMA5
PSB4_HUMAN	P28070	Proteasome subunit beta type-4 (26 kDa prosomal protein) (HsBPROS26) (PROS-26) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (HsN3)	PSMB4; PROS26
PSB2_HUMAN	P49721	Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I)	PSMB2
PSB1_HUMAN	P20618	Proteasome subunit beta type-1 (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)	PSMB1; PSC5
PSMG1_HUMAN	O95456	Proteasome assembly chaperone 1 (PAC-1) (Chromosome 21 leucine-rich protein) (C21-LRP) (Down syndrome critical region protein 2)	PSMG1; C21LRP; DSCR2; PAC1
PSA1_HUMAN	P25786	Proteasome subunit alpha type-1 (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain)	PSMA1; HC2; NU; PROS30; PSC2
PSA7_HUMAN	O14818	Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7)	PSMA7; HSPC
PSA3_HUMAN	P25788	Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8)	PSMA3; HC8; PSC8
PSA2_HUMAN	P25787	Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3)	PSMA2; HC3; PSC3
PSMD9_HUMAN	O00233	26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	PSMD9
PSA6_HUMAN	P60900	Proteasome subunit alpha type-6 (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain)	PSMA6; PROS27
PSA4_HUMAN	P25789	Proteasome subunit alpha type-4 (Macropain subunit C9) (Multicatalytic endopeptidase complex subunit C9) (Proteasome component C9) (Proteasome subunit L)	PSMA4; HC9; PSC9
PSD10_HUMAN	O75832	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))	PSMD10
PSB9_HUMAN	P28065	Proteasome subunit beta type-9 (EC 3.4.25.1) (Low molecular mass protein 2) (Macropain chain 7) (Multicatalytic endopeptidase complex chain 7) (Proteasome chain 7) (Proteasome subunit beta-1i) (Really interesting new gene 12 protein)	PSMB9; LMP2; PSMB6i; RING12
PSB8_HUMAN	P28062	Proteasome subunit beta type-8 (EC 3.4.25.1) (Low molecular mass protein 7) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i) (Really interesting new gene 10 protein)	PSMB8; LMP7; PSMB5i; RING10; Y2
PSMG2_HUMAN	Q969U7	Proteasome assembly chaperone 2 (PAC-2) (Hepatocellular carcinoma-susceptibility protein 3) (Tumor necrosis factor superfamily member 5-induced protein 1)	PSMG2; HCCA3; PAC2; TNFSF5IP1
PSB3_HUMAN	P49720	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain)	PSMB3
PSB5_HUMAN	P28074	Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit MB1) (Proteasome subunit X)	PSMB5; LMPX; MB1; X
PSME3_HUMAN	P61289	Proteasome activator complex subunit 3 (11S regulator complex subunit gamma) (REG-gamma) (Activator of multicatalytic protease subunit 3) (Ki nuclear autoantigen) (Proteasome activator 28 subunit gamma) (PA28g) (PA28gamma)	PSME3
PSB7_HUMAN	Q99436	Proteasome subunit beta type-7 (EC 3.4.25.1) (Macropain chain Z) (Multicatalytic endopeptidase complex chain Z) (Proteasome subunit Z)	PSMB7; Z
TBA8_HUMAN	Q9NY65	Tubulin alpha-8 chain (EC 3.6.5.-) (Alpha-tubulin 8) (Tubulin alpha chain-like 2) [Cleaved into: Dephenylalaninated tubulin alpha-8 chain]	TUBA8; TUBAL2
TBA3C_HUMAN	P0DPH7	Tubulin alpha-3C chain (EC 3.6.5.-) (Alpha-tubulin 2) (Alpha-tubulin 3C) (Tubulin alpha-2 chain) [Cleaved into: Detyrosinated tubulin alpha-3C chain]	TUBA3C; TUBA2
TBA3D_HUMAN	P0DPH8	Tubulin alpha-3D chain (EC 3.6.5.-) (Alpha-tubulin 3D) [Cleaved into: Detyrosinated tubulin alpha-3D chain]	TUBA3D
TBA3E_HUMAN	Q6PEY2	Tubulin alpha-3E chain (EC 3.6.5.-) (Alpha-tubulin 3E) [Cleaved into: Detyrosinated tubulin alpha-3E chain]	TUBA3E
TBA4A_HUMAN	P68366	Tubulin alpha-4A chain (EC 3.6.5.-) (Alpha-tubulin 1) (Testis-specific alpha-tubulin) (Tubulin H2-alpha) (Tubulin alpha-1 chain)	TUBA4A; TUBA1
TBA1A_HUMAN	Q71U36	Tubulin alpha-1A chain (EC 3.6.5.-) (Alpha-tubulin 3) (Tubulin B-alpha-1) (Tubulin alpha-3 chain) [Cleaved into: Detyrosinated tubulin alpha-1A chain]	TUBA1A; TUBA3
TBA1C_HUMAN	Q9BQE3	Tubulin alpha-1C chain (EC 3.6.5.-) (Alpha-tubulin 6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain]	TUBA1C; TUBA6
TBAL3_HUMAN	A6NHL2	Tubulin alpha chain-like 3 (EC 3.6.5.-)	TUBAL3
TBB4A_HUMAN	P04350	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)	TUBB4A; TUBB4; TUBB5
TBB2A_HUMAN	Q13885	Tubulin beta-2A chain (Tubulin beta class IIa)	TUBB2A; TUBB2
TBB3_HUMAN	Q13509	Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III)	TUBB3; TUBB4
TBB4B_HUMAN	P68371	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B; TUBB2C
TBB1_HUMAN	Q9H4B7	Tubulin beta-1 chain	TUBB1
TBB6_HUMAN	Q9BUF5	Tubulin beta-6 chain (Tubulin beta class V)	TUBB6
TBB5_HUMAN	P07437	Tubulin beta chain (Tubulin beta-5 chain)	TUBB; TUBB5; OK/SW-cl.56
TBB2B_HUMAN	Q9BVA1	Tubulin beta-2B chain	TUBB2B
